                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 2.6499,                0.88013,                 1.6139,                 0.8304,                0.44737,                0.36616,                0.25892,                 3.2556,                 1.6345,                 2.0186,              0.0013974,              0.0013974,              0.0013974
                     52,                 2.6153,                0.89098,                 1.6105,                0.88679,                    0.5,                0.42976,                0.33877,                 3.2242,                 1.5037,                 1.8808,              0.0013919,              0.0013919,              0.0013919
                     53,                 2.5979,                0.89321,                 1.5578,                0.88677,                    0.5,                0.44391,                0.31388,                 3.6081,                  1.756,                 2.2451,              0.0013864,              0.0013864,              0.0013864
                     54,                 2.5544,                0.88484,                 1.5762,                0.89238,                    0.5,                0.41267,                0.31892,                 3.1837,                  1.179,                 1.8434,              0.0013809,              0.0013809,              0.0013809
                     55,                 2.4779,                0.83383,                 1.5865,                0.87104,                0.46053,                0.40221,                0.27856,                  3.208,                 1.4198,                 1.9993,              0.0013754,              0.0013754,              0.0013754
                     56,                  2.572,                0.88258,                 1.5925,                0.88679,                    0.5,                0.40886,                0.31774,                 3.4054,                 1.2876,                 1.9811,              0.0013699,              0.0013699,              0.0013699
                     57,                 2.5058,                0.84876,                 1.5767,                0.87373,                0.46742,                0.41521,                0.30765,                  3.223,                 1.3665,                 1.8765,              0.0013644,              0.0013644,              0.0013644
                     58,                 2.4358,                0.86255,                 1.5521,                0.88607,                    0.5,                 0.4145,                0.31955,                 3.1781,                 1.3474,                 1.7337,              0.0013589,              0.0013589,              0.0013589
                     59,                 2.5066,                0.87238,                  1.562,                0.85524,                0.46053,                0.37527,                0.23643,                 3.6595,                 2.1446,                 2.1552,              0.0013534,              0.0013534,              0.0013534
                     60,                 2.4918,                0.86778,                 1.5436,                0.87649,                    0.5,                 0.4056,                 0.3284,                 3.4014,                 1.4185,                 1.8846,              0.0013479,              0.0013479,              0.0013479
                     61,                 2.4457,                0.84586,                 1.5555,                0.88475,                    0.5,                0.38656,                0.30093,                  3.573,                 1.4015,                 2.0519,              0.0013424,              0.0013424,              0.0013424
                     62,                 2.5322,                0.88019,                 1.5884,                0.87403,                 0.4298,                0.37777,                0.25832,                 3.6802,                 1.6222,                 2.2499,              0.0013369,              0.0013369,              0.0013369
                     63,                 2.4324,                0.83655,                  1.555,                0.87264,                0.46201,                0.41817,                0.27361,                 3.7179,                  1.862,                 2.4527,              0.0013314,              0.0013314,              0.0013314
                     64,                 2.4885,                0.86881,                 1.5636,                0.87665,                    0.5,                0.38998,                0.30709,                 3.3263,                 1.2175,                 1.8593,              0.0013259,              0.0013259,              0.0013259
                     65,                 2.3314,                0.80428,                 1.5135,                0.88239,                    0.5,                0.40725,                0.31627,                 3.3248,                 1.3924,                 1.8496,              0.0013204,              0.0013204,              0.0013204
                     66,                 2.3971,                0.83125,                 1.5363,                0.89359,                    0.5,                0.45085,                0.35169,                 3.3756,                 1.1784,                 1.8986,              0.0013149,              0.0013149,              0.0013149
