               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.020559,            0.018755,           0.0012689,             0.91031,                 0.5,             0.46964,             0.40214,             0.02905,           0.0077782,            0.001083,            0.007954,            0.007954,            0.007954
                  64,            0.020461,            0.019871,           0.0017798,             0.91155,                 0.5,             0.47271,             0.40274,            0.029806,            0.007822,           0.0018211,            0.007921,            0.007921,            0.007921
                  65,            0.019597,            0.019776,           0.0014238,             0.93908,                 0.5,             0.48338,             0.40781,            0.029745,           0.0081449,           0.0043718,            0.007888,            0.007888,            0.007888
                  66,            0.019432,            0.018876,           0.0016809,             0.94014,                 0.5,              0.4622,             0.35227,            0.031977,           0.0076895,            0.011744,            0.007855,            0.007855,            0.007855
                  67,            0.019342,            0.019557,           0.0012904,             0.90403,                 0.5,              0.4521,             0.38159,            0.028691,           0.0078869,           0.0096243,            0.007822,            0.007822,            0.007822
                  68,            0.018906,            0.018159,           0.0010162,             0.94146,             0.49623,             0.45572,             0.36207,              0.0344,           0.0074186,           0.0074849,            0.007789,            0.007789,            0.007789
                  69,            0.019422,            0.019419,           0.0015329,             0.92218,             0.49971,             0.45344,             0.37409,            0.031484,           0.0086575,           0.0045015,            0.007756,            0.007756,            0.007756
                  70,            0.019239,            0.018299,            0.001117,             0.92944,             0.48058,             0.45337,             0.36187,            0.028525,           0.0086212,           0.0031036,            0.007723,            0.007723,            0.007723
                  71,            0.018852,            0.018908,           0.0016666,             0.90182,             0.48469,             0.49543,              0.3643,            0.028293,           0.0096636,           0.0028306,             0.00769,             0.00769,             0.00769
                  72,            0.018633,            0.018859,           0.0011956,              0.9126,             0.49699,              0.4427,             0.37969,            0.029335,           0.0096555,          0.00072002,            0.007657,            0.007657,            0.007657
                  73,            0.018441,            0.018887,           0.0010459,             0.93456,                 0.5,             0.45273,             0.35872,            0.029355,            0.007802,           0.0010235,            0.007624,            0.007624,            0.007624
                  74,            0.018768,            0.018626,          0.00096771,             0.91125,                 0.5,              0.4662,             0.35438,            0.030282,           0.0091143,           0.0012078,            0.007591,            0.007591,            0.007591
                  75,            0.017897,            0.019226,           0.0018033,              0.9025,                 0.5,              0.4653,             0.36249,            0.028584,           0.0083623,           0.0035934,            0.007558,            0.007558,            0.007558
                  76,            0.017507,            0.018997,           0.0009618,             0.91207,                 0.5,              0.5234,             0.36826,            0.027883,           0.0083103,           0.0027303,            0.007525,            0.007525,            0.007525
                  77,            0.018566,            0.018308,           0.0011098,             0.93986,             0.48122,             0.50881,             0.39969,            0.030024,           0.0082941,           0.0021581,            0.007492,            0.007492,            0.007492
                  78,            0.017746,            0.018637,            0.001209,             0.90414,                 0.5,             0.46588,              0.3717,            0.030099,           0.0088038,            0.003152,            0.007459,            0.007459,            0.007459
                  79,            0.017926,            0.018562,           0.0011678,             0.93144,             0.49686,             0.45968,             0.37845,            0.027828,           0.0086012,           0.0034641,            0.007426,            0.007426,            0.007426
                  80,            0.018368,            0.018394,           0.0010421,             0.93044,                 0.5,             0.46024,             0.37743,            0.032584,           0.0079961,           0.0028292,            0.007393,            0.007393,            0.007393
                  81,            0.017838,            0.019283,           0.0011116,             0.91162,             0.49028,             0.46355,             0.36551,            0.029106,           0.0079737,            0.002125,             0.00736,             0.00736,             0.00736
                  82,             0.01757,            0.019803,           0.0010597,             0.91497,             0.48684,              0.4619,             0.38369,            0.031283,           0.0087619,          0.00090847,            0.007327,            0.007327,            0.007327
                  83,            0.016865,            0.018629,           0.0010255,             0.39618,                 0.5,              0.4947,             0.38714,            0.028995,           0.0081997,           0.0016014,            0.007294,            0.007294,            0.007294
                  84,            0.017423,            0.017939,           0.0011663,             0.91131,                 0.5,             0.46615,              0.3931,            0.028848,           0.0082998,           0.0062255,            0.007261,            0.007261,            0.007261
                  85,            0.017582,            0.018035,          0.00096003,             0.92055,                 0.5,              0.4596,             0.39719,             0.02645,           0.0079365,           0.0046673,            0.007228,            0.007228,            0.007228
                  86,            0.017391,            0.019032,           0.0012066,             0.90863,                 0.5,             0.45381,             0.37778,            0.029565,           0.0081272,           0.0056521,            0.007195,            0.007195,            0.007195
                  87,             0.01727,            0.018042,           0.0010624,             0.90285,                 0.5,             0.45222,             0.38811,            0.026138,           0.0079632,           0.0054612,            0.007162,            0.007162,            0.007162
                  88,            0.016739,            0.017703,          0.00087326,              0.9236,             0.48684,             0.46462,             0.39569,            0.026492,           0.0082512,           0.0045746,            0.007129,            0.007129,            0.007129
                  89,             0.01728,            0.017715,          0.00074609,             0.91085,                 0.5,             0.50703,             0.39763,            0.029952,           0.0085464,           0.0028196,            0.007096,            0.007096,            0.007096
                  90,            0.017323,            0.018332,           0.0010424,             0.87184,             0.48684,             0.51141,             0.38144,            0.033632,           0.0090227,              0.0015,            0.007063,            0.007063,            0.007063
                  91,            0.016666,            0.018275,           0.0012395,             0.94955,             0.46905,              0.4884,             0.39415,             0.03226,           0.0081511,          0.00061798,             0.00703,             0.00703,             0.00703
                  92,            0.017428,            0.017991,            0.001194,             0.89929,                 0.5,             0.49328,               0.415,            0.030075,           0.0079455,          0.00059032,            0.006997,            0.006997,            0.006997
                  93,            0.017559,            0.017546,           0.0011355,             0.94058,             0.48787,             0.49661,             0.40183,            0.028067,           0.0083041,          0.00079699,            0.006964,            0.006964,            0.006964
