                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.83954,                0.82378,                  1.429,                0.92047,                0.46053,                0.44261,                0.31031,                 1.2652,                 1.1443,                 1.9836,              0.0013424,              0.0013424,              0.0013424
                     61,                0.89041,                0.84195,                 1.4445,                0.81272,                0.48684,                0.42662,                0.32178,                 1.0622,                 1.3053,                  1.794,              0.0013369,              0.0013369,              0.0013369
                     62,                0.90597,                0.87211,                 1.4609,                0.91936,                    0.5,                0.44797,                 0.3671,                0.97317,                 0.9578,                 1.7208,              0.0013314,              0.0013314,              0.0013314
                     63,                0.87077,                0.86973,                 1.4715,                 0.9076,                    0.5,                0.41836,                0.33286,                0.92974,                 1.1713,                 1.7692,              0.0013259,              0.0013259,              0.0013259
                     64,                0.84436,                0.80727,                 1.4351,                0.89202,                0.48684,                0.41606,                0.30239,                 1.1283,                 1.1286,                 1.9499,              0.0013204,              0.0013204,              0.0013204
                     65,                 0.8213,                0.79629,                 1.4323,                0.89665,                    0.5,                0.43174,                0.31295,                 1.1693,                 1.0194,                 2.0674,              0.0013149,              0.0013149,              0.0013149
                     66,                0.84102,                 0.7839,                 1.4369,                 0.8486,                0.48478,                0.40965,                0.26278,                 1.4328,                 1.5076,                 2.1867,              0.0013094,              0.0013094,              0.0013094
                     67,                0.84756,                0.79631,                 1.4413,                0.85407,                    0.5,                0.41493,                0.33298,                0.93444,                 1.2031,                 1.6419,              0.0013039,              0.0013039,              0.0013039
                     68,                0.79789,                0.78093,                 1.4008,                0.89185,                0.48684,                0.41749,                0.31772,                0.96117,                 1.3722,                 1.6914,              0.0012984,              0.0012984,              0.0012984
                     69,                0.81828,                0.78663,                 1.4315,                0.89995,                0.48684,                  0.424,                0.33353,                 1.0998,                 1.1934,                 1.8515,              0.0012929,              0.0012929,              0.0012929
                     70,                0.82967,                0.80863,                 1.4272,                0.90318,                    0.5,                0.42545,                0.31059,                 1.1899,                  1.225,                 1.8005,              0.0012874,              0.0012874,              0.0012874
                     71,                0.79712,                0.73764,                 1.4081,                0.90439,                0.44526,                0.39641,                0.22951,                 1.3893,                 1.4749,                 2.4217,              0.0012819,              0.0012819,              0.0012819
                     72,                0.82548,                0.78749,                 1.4301,                0.87881,                0.47368,                0.41339,                0.28508,                  1.143,                 1.2237,                 1.9255,              0.0012764,              0.0012764,              0.0012764
                     73,                0.80238,                0.78077,                 1.3915,                0.89743,                0.48684,                0.43137,                0.35064,                0.98373,                 1.0375,                 1.7468,              0.0012709,              0.0012709,              0.0012709
                     74,                 0.7653,                0.76003,                 1.3937,                0.89601,                    0.5,                0.42411,                0.31672,                 1.1182,                  1.305,                 1.7516,              0.0012654,              0.0012654,              0.0012654
                     75,                0.81123,                0.78827,                 1.4162,                0.90346,                    0.5,                0.41907,                0.30568,                 1.2358,                 1.1472,                 2.0035,              0.0012599,              0.0012599,              0.0012599
                     76,                0.75008,                0.74925,                 1.3569,                0.88597,                0.48997,                0.41678,                0.32466,                0.92495,                 1.1986,                 1.6264,              0.0012544,              0.0012544,              0.0012544
                     77,                0.76145,                 0.7602,                 1.3854,                0.89518,                 0.4961,                0.44014,                0.35471,                0.86674,                 1.1189,                  1.599,              0.0012489,              0.0012489,              0.0012489
