               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.019764,            0.020032,           0.0021529,             0.92205,                 0.5,             0.46748,              0.3915,            0.029112,           0.0095243,           0.0023655,            0.007525,            0.007525,            0.007525
                  77,            0.018967,            0.019585,           0.0017574,             0.91343,             0.46053,             0.43613,             0.35514,            0.029824,            0.009501,           0.0014913,            0.007492,            0.007492,            0.007492
                  78,            0.018564,            0.019955,           0.0014488,              0.9128,             0.49832,             0.49512,             0.39626,            0.027929,           0.0085449,           0.0052489,            0.007459,            0.007459,            0.007459
                  79,            0.019074,            0.020079,           0.0018848,             0.91221,                 0.5,             0.46645,             0.37686,             0.02867,           0.0089192,           0.0025381,            0.007426,            0.007426,            0.007426
                  80,            0.018078,            0.019772,           0.0012079,             0.90394,             0.49801,             0.45904,             0.37225,            0.026365,           0.0090437,           0.0010769,            0.007393,            0.007393,            0.007393
                  81,            0.019296,            0.020522,           0.0012612,             0.91945,                 0.5,             0.47586,             0.37683,            0.028337,           0.0090332,          0.00088711,             0.00736,             0.00736,             0.00736
                  82,            0.019173,            0.021015,           0.0014102,             0.93144,              0.4969,             0.47396,             0.37955,            0.030269,           0.0086274,          0.00051107,            0.007327,            0.007327,            0.007327
                  83,            0.017544,            0.019872,           0.0013396,             0.92641,                 0.5,             0.47027,             0.38181,            0.031361,           0.0085192,          0.00053015,            0.007294,            0.007294,            0.007294
                  84,            0.017651,             0.01938,           0.0017548,             0.92019,             0.48684,             0.47285,             0.39333,              0.0317,           0.0092053,           0.0006156,            0.007261,            0.007261,            0.007261
                  85,            0.018507,             0.01922,           0.0015777,             0.91157,                 0.5,             0.45111,             0.35708,            0.028937,           0.0099754,          0.00082512,            0.007228,            0.007228,            0.007228
                  86,            0.018094,            0.020392,           0.0015411,             0.91067,                 0.5,             0.43924,             0.39143,            0.031402,           0.0083818,          0.00077925,            0.007195,            0.007195,            0.007195
                  87,            0.017876,             0.01966,           0.0014035,             0.89757,                 0.5,             0.51997,             0.39248,            0.029527,           0.0082698,           0.0005847,            0.007162,            0.007162,            0.007162
                  88,            0.017401,            0.018844,           0.0011471,             0.92533,             0.47368,             0.48076,             0.37169,            0.029102,           0.0089078,          0.00072174,            0.007129,            0.007129,            0.007129
                  89,            0.017857,            0.019077,          0.00099543,              0.9305,              0.4891,             0.46909,             0.38594,            0.033742,           0.0089469,          0.00039439,            0.007096,            0.007096,            0.007096
