                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.7741,                0.72139,                 1.3775,                0.91193,                    0.5,                  0.435,                0.35978,                0.94399,                0.94129,                 1.5804,              0.0012874,              0.0012874,              0.0012874
                     71,                0.74012,                0.67842,                 1.3611,                0.89263,                0.43304,                0.43783,                0.32598,                 1.2288,                 1.4391,                 1.9354,              0.0012819,              0.0012819,              0.0012819
                     72,                0.75495,                0.68784,                 1.3693,                0.90398,                    0.5,                 0.4566,                  0.361,                 1.0644,                   1.13,                 1.5763,              0.0012764,              0.0012764,              0.0012764
                     73,                0.74088,                0.69667,                  1.355,                0.90373,                 0.4967,                0.48421,                0.36306,                 1.0233,                0.98239,                 1.5788,              0.0012709,              0.0012709,              0.0012709
                     74,                0.71741,                0.70661,                 1.3669,                 0.8734,                    0.5,                0.55721,                 0.3755,                0.86886,                0.99572,                 1.4517,              0.0012654,              0.0012654,              0.0012654
                     75,                0.76491,                0.71098,                 1.3784,                 0.5748,                  0.625,                0.53525,                 0.3444,                 1.2079,                 1.0456,                 1.8594,              0.0012599,              0.0012599,              0.0012599
                     76,                0.70162,                0.67095,                 1.3225,                0.39335,                 0.5625,                0.49168,                0.34373,                0.95881,                 1.0186,                 1.5591,              0.0012544,              0.0012544,              0.0012544
                     77,                0.71611,                0.68711,                 1.3447,                0.90421,                0.49968,                0.48512,                 0.3319,                0.99037,                  1.105,                  1.601,              0.0012489,              0.0012489,              0.0012489
                     78,                0.76053,                0.66766,                 1.3688,                0.90404,                0.49862,                0.41812,                0.33617,                0.88999,                  1.049,                 1.4882,              0.0012434,              0.0012434,              0.0012434
                     79,                0.77326,                0.67061,                 1.3776,                0.90992,                0.47906,                0.48567,                0.36419,                 1.0798,                 1.2854,                 1.6539,              0.0012379,              0.0012379,              0.0012379
                     80,                0.76244,                 0.7047,                 1.3586,                 0.8875,                    0.5,                0.42216,                 0.3418,                0.92486,                 1.0025,                  1.538,              0.0012324,              0.0012324,              0.0012324
                     81,                0.73716,                0.69882,                 1.3581,                0.45147,                 0.5625,                0.48341,                0.38364,                0.93468,                0.89413,                 1.5119,              0.0012269,              0.0012269,              0.0012269
                     82,                0.73105,                0.66522,                 1.3439,                0.49228,                0.59288,                0.49775,                 0.3379,                 1.1095,                 1.1498,                 1.8078,              0.0012214,              0.0012214,              0.0012214
                     83,                0.70254,                0.64284,                 1.3293,                0.91108,                    0.5,                0.44144,                0.35372,                0.91678,                0.84213,                 1.5164,              0.0012159,              0.0012159,              0.0012159
                     84,                0.73757,                0.65111,                 1.3424,                0.87189,                    0.5,                0.46388,                 0.3699,                 0.9807,                 1.1748,                 1.5323,              0.0012104,              0.0012104,              0.0012104
                     85,                0.72904,                0.65797,                 1.3389,                0.89993,                    0.5,                0.46199,                0.35349,                  1.085,                 1.2189,                 1.6291,              0.0012049,              0.0012049,              0.0012049
                     86,                 0.7261,                0.64318,                 1.3796,                0.43163,                  0.625,                0.48352,                0.37795,                0.84237,                0.83019,                 1.4881,              0.0011994,              0.0011994,              0.0011994
                     87,                0.72795,                0.64913,                 1.3434,                0.89528,                0.48684,                0.45941,                0.37465,                0.86668,                0.82184,                 1.5038,              0.0011939,              0.0011939,              0.0011939
                     88,                0.66887,                0.63804,                 1.3138,                0.90872,                    0.5,                0.45937,                0.37319,                0.88603,                0.87016,                 1.4467,              0.0011884,              0.0011884,              0.0011884
                     89,                0.70911,                0.66066,                 1.3402,                0.90677,                    0.5,                0.43238,                0.35263,                0.89796,                0.98902,                  1.453,              0.0011829,              0.0011829,              0.0011829
                     90,                0.68572,                0.65203,                  1.328,                0.43563,                 0.5625,                0.51746,                0.39648,                0.87392,                0.91694,                 1.4451,              0.0011774,              0.0011774,              0.0011774
                     91,                0.68927,                0.60794,                 1.3255,                0.48821,                 0.6875,                0.51562,                0.36602,                0.86884,                 0.9562,                  1.429,              0.0011719,              0.0011719,              0.0011719
                     92,                0.66658,                0.63042,                 1.3143,                0.42302,                 0.5625,                0.47927,                0.36512,                0.91777,                 0.8472,                 1.5746,              0.0011664,              0.0011664,              0.0011664
                     93,                0.68867,                0.62982,                 1.3332,                0.45471,                 0.5625,                0.51897,                0.37077,                0.97273,                0.84341,                 1.5376,              0.0011609,              0.0011609,              0.0011609
                     94,                0.69403,                0.63634,                 1.3306,                0.54691,                 0.5625,                0.49597,                 0.3606,                0.90224,                0.88608,                 1.4641,              0.0011554,              0.0011554,              0.0011554
                     95,                0.69855,                0.65179,                 1.3406,                 0.4118,                 0.5625,                0.48884,                0.38878,                0.98001,                 1.0965,                  1.477,              0.0011499,              0.0011499,              0.0011499
                     96,                 0.6844,                0.62605,                 1.3119,                0.91231,                    0.5,                0.47363,                0.36163,                0.85975,                0.95861,                 1.4005,              0.0011444,              0.0011444,              0.0011444
                     97,                0.65847,                0.58376,                  1.304,                0.91024,                    0.5,                0.45044,                0.33174,                 1.0932,                 1.1375,                 1.6875,              0.0011389,              0.0011389,              0.0011389
                     98,                0.72383,                 0.6409,                 1.3329,                0.89314,                0.47368,                0.43031,                0.33955,                  1.001,                 1.1269,                 1.6042,              0.0011334,              0.0011334,              0.0011334
                     99,                0.69399,                0.62381,                 1.3189,                 0.9017,                    0.5,                0.50553,                0.36351,                 1.0402,                 1.0835,                 1.6165,              0.0011279,              0.0011279,              0.0011279
                    100,                0.66373,                0.62496,                 1.3157,                0.53774,                  0.625,                0.54397,                0.38799,                0.85087,                0.80544,                 1.4424,              0.0011224,              0.0011224,              0.0011224
                    101,                0.68775,                0.62099,                 1.3122,                0.43218,                  0.625,                0.50623,                0.31593,                 1.2797,                  1.532,                 2.0678,              0.0011169,              0.0011169,              0.0011169
                    102,                 0.7045,                0.63043,                 1.3393,                0.53721,                 0.5625,                 0.5204,                0.38177,                0.88267,                0.86575,                 1.3912,              0.0011114,              0.0011114,              0.0011114
                    103,                0.68667,                0.60936,                 1.3162,                0.48977,                 0.5625,                0.52729,                 0.4009,                0.89408,                0.95264,                  1.398,              0.0011059,              0.0011059,              0.0011059
                    104,                0.66795,                0.61556,                 1.3104,                0.85729,                    0.5,                0.43214,                0.35316,                0.90692,                 1.1455,                 1.4737,              0.0011004,              0.0011004,              0.0011004
                    105,                0.72931,                0.68023,                 1.3597,                0.65001,                0.58085,                0.57537,                0.39856,                0.89106,                0.90434,                 1.4282,              0.0010949,              0.0010949,              0.0010949
                    106,                0.70716,                 0.6294,                 1.3228,                0.60559,                 0.5625,                0.53046,                0.40101,                0.89109,                0.82105,                 1.4051,              0.0010894,              0.0010894,              0.0010894
                    107,                0.66694,                0.62137,                 1.3159,                0.56927,                  0.625,                0.54591,                0.38271,                0.91006,                0.87128,                 1.4379,              0.0010839,              0.0010839,              0.0010839
                    108,                0.69819,                0.62994,                 1.3181,                 0.3909,                 0.5625,                0.45952,                0.35663,                0.92671,                0.97026,                 1.5064,              0.0010784,              0.0010784,              0.0010784
                    109,                0.71823,                0.63441,                 1.3571,                0.46664,                  0.625,                0.49921,                0.39283,                0.83352,                0.84694,                 1.3734,              0.0010729,              0.0010729,              0.0010729
                    110,                0.66968,                0.60882,                 1.3139,                0.90407,                    0.5,                0.44899,                0.37486,                0.83364,                0.82675,                 1.4156,              0.0010674,              0.0010674,              0.0010674
                    111,                0.66191,                0.58767,                  1.296,                 0.4539,                 0.5625,                0.47279,                0.38448,                0.80063,                0.82818,                 1.3579,              0.0010619,              0.0010619,              0.0010619
                    112,                0.68279,                0.60338,                 1.3228,                0.41104,                 0.5625,                0.47937,                0.33747,                 1.1485,                 1.1138,                 1.7088,              0.0010564,              0.0010564,              0.0010564
                    113,                0.68398,                0.60244,                 1.3235,                0.62124,                 0.6146,                0.50939,                0.38923,                0.90209,                0.85626,                 1.4169,              0.0010509,              0.0010509,              0.0010509
                    114,                0.66269,                0.60412,                  1.294,                0.62116,                  0.625,                0.54653,                0.39508,                0.81937,                0.85306,                 1.3812,              0.0010454,              0.0010454,              0.0010454
                    115,                0.68896,                0.62269,                 1.3267,                0.50291,                  0.625,                0.54986,                0.39626,                0.82752,                0.86505,                 1.3293,              0.0010399,              0.0010399,              0.0010399
                    116,                0.66103,                0.58579,                 1.3271,                0.75447,                 0.5625,                 0.4975,                0.35574,                0.99969,                0.96157,                  1.501,              0.0010344,              0.0010344,              0.0010344
                    117,                0.65923,                0.57331,                 1.3202,                0.82196,                 0.5625,                0.52163,                0.37431,                0.87834,                0.94962,                 1.4035,              0.0010289,              0.0010289,              0.0010289
                    118,                0.64084,                0.58748,                 1.3042,                0.59931,                  0.625,                0.53093,                0.37611,                0.93369,                0.97525,                 1.4855,              0.0010234,              0.0010234,              0.0010234
                    119,                 0.6429,                0.56031,                 1.2855,                0.50921,                  0.625,                0.55332,                0.37324,                0.85633,                0.99022,                 1.4932,              0.0010179,              0.0010179,              0.0010179
                    120,                0.63658,                0.59689,                 1.2888,                0.55681,                 0.5625,                0.53858,                0.39288,                0.93391,                 1.0097,                 1.5579,              0.0010124,              0.0010124,              0.0010124
